[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.026875
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.026875
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.026875
[EVALUATE] Split: test_balanced | Batch 50/5897 | Loss: 0.026875
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.259188
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.259188
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.259188
[EVALUATE] Split: test_balanced | Batch 100/5897 | Loss: 1.259188
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.714810
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.714810
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.714810
[EVALUATE] Split: test_balanced | Batch 150/5897 | Loss: 0.714810
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.011703
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.011703
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.011703
[EVALUATE] Split: test_balanced | Batch 200/5897 | Loss: 1.011703
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.624161
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.624161
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.624161
[EVALUATE] Split: test_balanced | Batch 250/5897 | Loss: 0.624161
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.077648
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.077648
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.077648
[EVALUATE] Split: test_balanced | Batch 300/5897 | Loss: 0.077648
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 1.601133
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 1.601133
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 1.601133
[EVALUATE] Split: test_balanced | Batch 350/5897 | Loss: 1.601133
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 1.895323
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 1.895323
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 1.895323
[EVALUATE] Split: test_balanced | Batch 400/5897 | Loss: 1.895323
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.673035
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.673035
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.673035
[EVALUATE] Split: test_balanced | Batch 450/5897 | Loss: 1.673035
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.406011
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.406011
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.406011
[EVALUATE] Split: test_balanced | Batch 500/5897 | Loss: 0.406011
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.529996
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.529996
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.529996
[EVALUATE] Split: test_balanced | Batch 550/5897 | Loss: 1.529996
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.322652
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.322652
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.322652
[EVALUATE] Split: test_balanced | Batch 600/5897 | Loss: 1.322652
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.070245
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.070245
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.070245
[EVALUATE] Split: test_balanced | Batch 650/5897 | Loss: 0.070245
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.706033
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.706033
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.706033
[EVALUATE] Split: test_balanced | Batch 700/5897 | Loss: 0.706033
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.127035
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.127035
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.127035
[EVALUATE] Split: test_balanced | Batch 750/5897 | Loss: 0.127035
[EVALUATE] Split: test_balanced | Batch 800/5897 | Loss: 0.505738
