[FINETUNE] Epoch 0/29 | Batch 50/3993 | Loss: 5.252398 | LR: 1.46e-07
[FINETUNE] Epoch 0/29 | Batch 100/3993 | Loss: 6.101469 | LR: 2.92e-07
[FINETUNE] Epoch 0/29 | Batch 150/3993 | Loss: 5.361944 | LR: 4.38e-07
[FINETUNE] Epoch 0/29 | Batch 200/3993 | Loss: 4.902086 | LR: 5.84e-07
[FINETUNE] Epoch 0/29 | Batch 250/3993 | Loss: 5.579349 | LR: 7.30e-07
[FINETUNE] Epoch 0/29 | Batch 300/3993 | Loss: 4.368215 | LR: 8.77e-07
[FINETUNE] Epoch 0/29 | Batch 350/3993 | Loss: 3.426524 | LR: 1.02e-06
[FINETUNE] Epoch 0/29 | Batch 400/3993 | Loss: 3.038792 | LR: 1.17e-06
[FINETUNE] Epoch 0/29 | Batch 450/3993 | Loss: 1.995650 | LR: 1.31e-06
[FINETUNE] Epoch 0/29 | Batch 500/3993 | Loss: 1.258394 | LR: 1.46e-06
[FINETUNE] Epoch 0/29 | Batch 550/3993 | Loss: 1.558932 | LR: 1.61e-06
[FINETUNE] Epoch 0/29 | Batch 600/3993 | Loss: 0.991675 | LR: 1.75e-06
[FINETUNE] Epoch 0/29 | Batch 650/3993 | Loss: 0.660003 | LR: 1.90e-06
[FINETUNE] Epoch 0/29 | Batch 700/3993 | Loss: 0.711123 | LR: 2.05e-06
[FINETUNE] Epoch 0/29 | Batch 750/3993 | Loss: 0.844952 | LR: 2.19e-06
[FINETUNE] Epoch 0/29 | Batch 800/3993 | Loss: 0.552114 | LR: 2.34e-06
[FINETUNE] Epoch 0/29 | Batch 850/3993 | Loss: 0.341377 | LR: 2.48e-06
[FINETUNE] Epoch 0/29 | Batch 900/3993 | Loss: 0.383347 | LR: 2.63e-06
[FINETUNE] Epoch 0/29 | Batch 950/3993 | Loss: 0.534014 | LR: 2.78e-06
[FINETUNE] Epoch 0/29 | Batch 1000/3993 | Loss: 0.433541 | LR: 2.92e-06
[FINETUNE] Epoch 0/29 | Batch 1050/3993 | Loss: 0.695814 | LR: 3.07e-06
[FINETUNE] Epoch 0/29 | Batch 1100/3993 | Loss: 0.244550 | LR: 3.21e-06
[FINETUNE] Epoch 0/29 | Batch 1150/3993 | Loss: 0.416552 | LR: 3.36e-06
[FINETUNE] Epoch 0/29 | Batch 1200/3993 | Loss: 0.595141 | LR: 3.51e-06
