[PRETRAIN] Epoch 0/39 | Batch 100/10684 | Loss: 0.690489 | LR: 2.00e-06
[PRETRAIN] Epoch 0/39 | Batch 200/10684 | Loss: 0.716343 | LR: 2.00e-06
[PRETRAIN] Epoch 0/39 | Batch 300/10684 | Loss: 0.689293 | LR: 2.00e-06
[PRETRAIN] Epoch 0/39 | Batch 400/10684 | Loss: 0.756859 | LR: 2.00e-06
[PRETRAIN] Epoch 0/39 | Batch 500/10684 | Loss: 0.690952 | LR: 2.00e-06
[PRETRAIN] Epoch 0/39 | Batch 600/10684 | Loss: 0.687843 | LR: 2.01e-06
[PRETRAIN] Epoch 0/39 | Batch 700/10684 | Loss: 0.695076 | LR: 2.01e-06
[PRETRAIN] Epoch 0/39 | Batch 800/10684 | Loss: 0.637289 | LR: 2.01e-06
[PRETRAIN] Epoch 0/39 | Batch 900/10684 | Loss: 0.668864 | LR: 2.01e-06
[PRETRAIN] Epoch 0/39 | Batch 1000/10684 | Loss: 0.756327 | LR: 2.02e-06
[PRETRAIN] Epoch 0/39 | Batch 1100/10684 | Loss: 0.827005 | LR: 2.02e-06
[PRETRAIN] Epoch 0/39 | Batch 1200/10684 | Loss: 0.649826 | LR: 2.02e-06
[PRETRAIN] Epoch 0/39 | Batch 1300/10684 | Loss: 0.682523 | LR: 2.03e-06
[PRETRAIN] Epoch 0/39 | Batch 1400/10684 | Loss: 0.677058 | LR: 2.03e-06
[PRETRAIN] Epoch 0/39 | Batch 1500/10684 | Loss: 0.677070 | LR: 2.04e-06
[PRETRAIN] Epoch 0/39 | Batch 1600/10684 | Loss: 0.531233 | LR: 2.04e-06
[PRETRAIN] Epoch 0/39 | Batch 1700/10684 | Loss: 0.648487 | LR: 2.05e-06
[PRETRAIN] Epoch 0/39 | Batch 1800/10684 | Loss: 0.620923 | LR: 2.05e-06
[PRETRAIN] Epoch 0/39 | Batch 1900/10684 | Loss: 0.735102 | LR: 2.06e-06
[PRETRAIN] Epoch 0/39 | Batch 2000/10684 | Loss: 0.648319 | LR: 2.06e-06
[PRETRAIN] Epoch 0/39 | Batch 2100/10684 | Loss: 0.536831 | LR: 2.07e-06
[PRETRAIN] Epoch 0/39 | Batch 2200/10684 | Loss: 0.689158 | LR: 2.08e-06
[PRETRAIN] Epoch 0/39 | Batch 2300/10684 | Loss: 0.604386 | LR: 2.09e-06
[PRETRAIN] Epoch 0/39 | Batch 2400/10684 | Loss: 0.657356 | LR: 2.09e-06
[PRETRAIN] Epoch 0/39 | Batch 2500/10684 | Loss: 0.658628 | LR: 2.10e-06
[PRETRAIN] Epoch 0/39 | Batch 2600/10684 | Loss: 0.603358 | LR: 2.11e-06
[PRETRAIN] Epoch 0/39 | Batch 2700/10684 | Loss: 0.632319 | LR: 2.12e-06
[PRETRAIN] Epoch 0/39 | Batch 2800/10684 | Loss: 0.578938 | LR: 2.13e-06
[PRETRAIN] Epoch 0/39 | Batch 2900/10684 | Loss: 0.691489 | LR: 2.14e-06
[PRETRAIN] Epoch 0/39 | Batch 3000/10684 | Loss: 0.634563 | LR: 2.15e-06
[PRETRAIN] Epoch 0/39 | Batch 3100/10684 | Loss: 0.602171 | LR: 2.16e-06
[PRETRAIN] Epoch 0/39 | Batch 3200/10684 | Loss: 0.605236 | LR: 2.17e-06
[PRETRAIN] Epoch 0/39 | Batch 3300/10684 | Loss: 0.616559 | LR: 2.18e-06
[PRETRAIN] Epoch 0/39 | Batch 3400/10684 | Loss: 0.617221 | LR: 2.19e-06
[PRETRAIN] Epoch 0/39 | Batch 3500/10684 | Loss: 0.645821 | LR: 2.20e-06
[PRETRAIN] Epoch 0/39 | Batch 3600/10684 | Loss: 0.747012 | LR: 2.21e-06
[PRETRAIN] Epoch 0/39 | Batch 3700/10684 | Loss: 0.531836 | LR: 2.22e-06
[PRETRAIN] Epoch 0/39 | Batch 3800/10684 | Loss: 0.627328 | LR: 2.23e-06
[PRETRAIN] Epoch 0/39 | Batch 3900/10684 | Loss: 0.686172 | LR: 2.25e-06
[PRETRAIN] Epoch 0/39 | Batch 4000/10684 | Loss: 0.631537 | LR: 2.26e-06
[PRETRAIN] Epoch 0/39 | Batch 4100/10684 | Loss: 0.572740 | LR: 2.27e-06
[PRETRAIN] Epoch 0/39 | Batch 4200/10684 | Loss: 0.674792 | LR: 2.29e-06
[PRETRAIN] Epoch 0/39 | Batch 4300/10684 | Loss: 0.594864 | LR: 2.30e-06
[PRETRAIN] Epoch 0/39 | Batch 4400/10684 | Loss: 0.737037 | LR: 2.31e-06
